Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Pergunta de revisão avançada #235: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #236: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #237: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #238: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #239: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #240: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #241: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #242: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #243: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #244: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #245: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #246: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #247: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #248: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #249: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #250: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #251: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #252: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #253: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #254: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #255: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #256: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #257: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #258: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #259: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #260: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #261: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #262: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #263: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #264: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #265: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #266: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #267: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #268: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #269: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #270: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #271: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #272: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
Pergunta de revisão avançada #273: Explique brevemente um conceito/prática crítica em Mecânica das Rochas.	Resposta: explique tensões in-situ, janelas de perfuração segura, classificação ISRM, cálculos de Zingg/Sneed e interpretação de ensaios de campo conforme o roteiro.
